ID,Name,OVR,PAC,SHO,PAS,DRI,DEF,POS
158023,Lionel Messi,86,78,85,85,90,33,"RW, ST, CAM"
241096,Sandro Tonali,86,79,74,82,80,81,"CDM, CM"
256516,Nico Williams,86,93,76,80,87,36,LW
240638,Tijjani Reijnders,86,79,79,82,85,77,"CM, CDM, CAM"
192448,Marc-André ter Stegen,86,84,84,89,85,47,GK
235073,Gregor Kobel,86,87,83,64,87,44,GK
210257,Ederson,85,83,82,91,83,64,GK
226268,Federico Dimarco,85,80,78,84,82,79,LB
237238,Scott McTominay,85,76,82,77,80,80,"CM, CAM"
246104,Ryan Gravenberch,85,76,76,81,85,81,"CDM, CM"
202811,Emiliano Martínez,85,83,82,82,85,56,GK
272834,João Neves,85,74,69,80,84,82,"CM, CDM"
194765,Antoine Griezmann,85,77,86,85,88,59,"ST, CAM"
243014,Bryan Mbeumo,85,88,84,79,84,49,"RW, ST"
215914,N'Golo Kanté,85,77,65,73,80,85,"CDM, CM"
271421,Désiré Doué,85,83,80,77,90,55,"RW, LW, CM"
204963,Carvajal,85,80,58,79,81,81,RB
230869,Unai Simón,85,84,80,76,85,49,GK
228093,Marcus Thuram,85,86,83,76,82,50,ST
185122,Péter Gulácsi,85,83,83,74,84,43,GK
241084,Luis Díaz,85,88,81,76,87,45,"LW, ST"
193080,De Gea,85,85,78,71,87,46,GK
247819,Nico Schlotterbeck,85,74,60,75,73,85,CB
200104,Heung Min Son,85,84,84,81,83,42,"LW, ST"
237692,Phil Foden,85,81,81,82,89,57,"RW, CM, LW"
226271,Fabián Ruiz,85,61,77,80,81,75,"CM, CDM"
216393,Youri Tielemans,85,54,79,85,80,75,"CM, CDM, CAM"
199503,Granit Xhaka,85,47,75,85,74,78,"CDM, CM"
165153,Karim Benzema,85,75,84,81,83,38,"ST, CAM"
204525,Iñigo Martínez,85,71,57,72,68,85,CB
20801,Cristiano Ronaldo,85,76,88,76,80,34,ST
243812,Rodrygo,85,88,80,79,87,31,"RW, ST"
244260,Dani Olmo,85,73,79,83,87,50,"CAM, CM, ST"
229558,Dayot Upamecano,85,77,45,64,73,84,CB
234236,Patrik Schick,85,72,83,71,81,38,ST
239580,Bremer,85,82,50,58,66,86,CB
232656,Theo Hernández,84,90,76,78,83,79,LB
226161,Marcos Llorente,84,89,79,78,81,78,"RB, CM"
212616,Rodrigo De Paul,84,75,78,83,83,76,"CM, CDM, CAM"
210514,João Cancelo,84,83,73,84,84,78,"RB, LB"
244675,Sancet,84,76,83,80,85,70,"CAM, CM, ST"
234396,Alphonso Davies,84,94,66,78,85,74,LB
204935,Jordan Pickford,84,84,78,88,87,53,GK
233096,Denzel Dumfries,84,84,70,75,79,79,RB
223848,Sergej Milinković-Savić,84,62,80,81,81,78,"CM, CDM, CAM"
251517,Joško Gvardiol,84,78,71,75,78,84,"LB, CB"
241637,Aurélien Tchouaméni,84,71,69,79,78,81,"CDM, CM, CB"
239231,Marc Cucurella,84,75,64,79,80,82,LB
210035,Grimaldo,84,72,73,87,85,74,"LB, LW"
226851,Benjamin Pavard,84,75,67,76,75,86,CB
247090,Enzo Fernández,84,68,75,85,81,73,"CM, CDM, CAM"
186153,Wojciech Szczęsny,84,82,83,75,84,48,GK
257279,Álex Baena,84,79,76,84,82,65,"ST, LW"
220502,Mattia Zaccagni,84,88,78,77,87,57,LW
262621,Giorgi Mamardashvili,84,84,81,72,84,48,GK
231521,Exequiel Palacios,84,62,76,80,82,81,"CM, CDM"
245367,Xavi Simons,84,77,77,80,87,61,"CAM, ST"
167495,Manuel Neuer,84,81,81,90,81,31,GK
224293,Rúben Neves,84,57,75,87,77,77,"CDM, CM"
242516,Cody Gakpo,84,83,82,80,83,47,LW
218667,Bernardo Silva,84,61,78,83,89,71,"CM, CDM, CAM"
222077,Manuel Locatelli,84,63,69,80,76,81,"CDM, CM"
227796,Christian Pulisic,84,88,82,80,86,46,"RW, CAM"
234577,Diogo Costa,84,83,78,82,86,35,GK
221697,Ollie Watkins,84,77,83,73,80,50,ST
220697,James Maddison,84,67,81,86,85,58,"CM, CAM"
252154,Marco Carnesecchi,84,86,83,71,86,30,GK
256675,Omar Marmoush,84,89,85,76,86,34,"ST, CAM, LW"
241721,Rafael Leão,84,93,78,80,86,28,LW
240130,Éder Militão,84,82,50,69,71,85,CB
192505,Romelu Lukaku,84,79,82,75,75,41,ST
197781,Isco,84,66,79,85,85,59,"CAM, CM"
264652,Bradley Barcola,84,90,77,78,84,39,"LW, RW"
241852,Moussa Diaby,84,95,75,77,87,44,RW
248550,Vivian,84,79,50,63,72,84,CB
230899,Ademola Lookman,84,86,84,73,88,32,"ST, CAM"
204485,Riyad Mahrez,84,78,80,81,88,39,RW
216549,Alexander Sørloth,84,77,82,71,76,36,"ST, RW"
199845,Francesco Acerbi,84,57,50,65,65,87,CB
198176,Stefan de Vrij,84,62,41,68,69,86,CB
204638,Willi Orban,84,57,40,56,56,86,CB
210008,Adrien Rabiot,83,81,79,81,80,77,"CAM, CM"
248243,Eduardo Camavinga,83,80,68,81,84,78,"CM, CDM, LB"
236772,Dominik Szoboszlai,83,79,82,84,82,67,"CAM, CM"
192883,Henrikh Mkhitaryan,83,77,78,82,83,72,CM
223959,Lucas Torreira,83,76,72,78,81,81,"CDM, CM"
217870,Giovanni Di Lorenzo,83,84,72,73,77,79,"RB, CB"
244669,Morten Hjulmand,83,70,76,78,77,80,"CDM, CM"
247394,Dejan Kulusevski,83,74,79,84,85,62,"CM, RW, CAM"
225193,Mikel Merino,83,63,79,80,80,81,"CM, ST"
215590,Ayoze,83,86,83,80,83,59,"ST, CAM"
216201,Iñaki Williams,83,94,81,74,80,45,"ST, RW"
240950,Pedro Gonçalves,83,77,82,83,84,63,"CAM, CM"
259532,Joan García,83,81,82,77,86,46,GK
227127,Álex Remiro,83,83,78,80,84,45,GK
247103,Dávid Hancko,83,77,66,73,74,82,"CB, LB"
242964,Anthony Gordon,83,91,79,78,83,50,"LW, RW"
251752,Lucas Chevalier,83,84,79,73,86,50,GK
207410,Mateo Kovačić,83,67,74,81,83,73,"CM, CDM, CAM"
228813,Aleix García,83,65,75,85,84,75,"CM, CDM"
209989,Thomas Partey,83,59,71,80,77,80,"CDM, CM, RB"
216435,Stanislav Lobotka,83,71,69,80,82,76,"CM, CDM"
253149,Jeremie Frimpong,83,94,62,74,84,72,"RB, RW"
177003,Luka Modrić,83,68,74,86,86,70,"CM, CAM, CDM"
208722,Sadio Mané,83,82,81,78,85,44,"ST, LW"
193698,Oliver Baumann,83,83,81,78,83,39,GK
240243,Matheus Cunha,83,77,85,79,84,44,"CAM, LW, ST"
248148,Zubimendi,83,66,67,79,79,80,"CDM, CM"
199641,Matz Sels,83,82,80,79,83,36,GK
264240,Gavi,83,76,66,78,85,68,"CM, CAM"
235794,Eberechi Eze,83,74,80,81,87,50,"CAM, LW, ST"
263578,Balde,83,91,50,75,79,78,LB
186942,İlkay Gündoğan,83,54,79,83,80,74,"CM, CDM, CAM"
243580,Loïs Openda,83,95,81,69,81,31,ST
229391,Palhinha,83,56,68,70,72,84,"CDM, CM"
212194,Julian Brandt,83,74,78,83,84,44,"CAM, CM"
224371,Jarrod Bowen,83,76,81,78,82,46,"ST, RW"
278016,Murillo,83,80,48,67,71,83,CB
236987,Boubacar Kamara,83,64,55,74,75,83,"CDM, CM"
208920,Nathan Aké,83,72,53,72,75,84,"CB, LB"
241461,Ferran Torres,83,83,81,79,83,35,"LW, RW, ST"
250959,Angelo Stiller,83,56,58,83,84,76,"CDM, CM"
256197,Piero Hincapié,83,84,41,65,72,84,"CB, LB"
242458,Artem Dovbyk,83,83,84,68,78,34,ST
257289,Hugo Ekitiké,83,86,78,69,85,33,"ST, CAM"
192629,Iago Aspas,83,77,84,80,84,35,"RW, ST"
236610,Moise Kean,83,86,82,58,81,40,ST
253163,Ronald Araujo,83,80,53,63,61,81,"CB, RB"
213345,Kingsley Coman,83,87,75,79,87,30,LW
207421,Leandro Trossard,83,80,81,80,85,30,"LW, ST"
231936,Benjamin White,83,70,35,75,75,83,RB
241850,Mateo Retegui,83,72,83,67,78,37,ST
216460,José María Giménez,83,73,46,60,62,85,CB
229582,Gianluca Mancini,83,70,50,57,64,85,CB
244263,Amir Rrahmani,83,69,51,60,63,84,CB
238095,Nikola Milenković,83,57,46,63,62,84,CB
233486,Robin Le Normand,83,65,28,59,63,84,CB
209658,Leon Goretzka,82,77,78,80,80,80,"CM, CDM, CAM"
223334,Joelinton,82,74,73,77,81,82,"CM, LW"
246863,Felix Nmecha,82,82,74,73,81,80,"CDM, CM"
227236,André-Franck Zambo Anguissa,82,75,75,75,79,79,"CM, CAM"
266866,Éderson,82,78,72,77,80,80,CM
208333,Emre Can,82,77,76,72,74,82,"CB, CDM, CM"
243245,Orkun Kökçü,82,72,80,84,80,70,"CM, CAM, CDM"
243576,Pedro Porro,82,78,73,81,80,77,RB
229261,Denis Zakaria,82,80,67,74,77,80,"CDM, CM"
260247,Morgan Rogers,82,77,77,79,84,67,"CAM, CM"
230872,Mile Svilar,82,80,80,77,85,58,GK
256853,Malik Tillman,82,84,76,77,83,65,"CAM, LW, CM"
210411,Otávio,82,78,71,82,85,70,"CAM, CM"
210602,Salem Al Dawsari,82,87,75,75,84,57,LW
225375,Konrad Laimer,82,82,69,76,75,81,"RB, CDM, CM"
236496,Mattéo Guendouzi,82,72,73,80,80,77,"CDM, CM"
225201,Álex Berenguer,82,84,77,79,84,65,"CAM, LW"
236703,David Raum,82,86,61,80,79,74,LB
197445,David Alaba,82,68,71,82,79,82,"CB, LB"
215316,Gerónimo Rulli,82,82,77,80,83,54,GK
260908,Milos Kerkez,82,87,59,75,78,77,LB
240091,Guglielmo Vicario,82,83,78,78,84,52,GK
226226,Giovani Lo Celso,82,68,81,82,84,68,"CAM, CM, CDM"
224987,Ivan Provedel,82,83,79,80,84,42,GK
236015,Morgan Gibbs-White,82,75,77,82,84,60,"CAM, ST"
227647,Maximilian Mittelstädt,82,81,62,77,77,78,LB
272449,Pablo Barrios,82,80,70,74,80,74,"CM, CDM"
192984,Koen Casteels,82,82,79,74,85,45,GK
225116,Alex Meret,82,81,79,74,85,44,GK
216267,Andrew Robertson,82,74,61,80,77,79,LB
220793,Davinson Sánchez,82,82,58,63,73,82,CB
222737,Malcom,82,89,78,79,84,43,"CAM, CM"
209981,Yassine Bounou,82,81,82,76,85,38,GK
229348,Antonee Robinson,82,88,46,75,77,78,LB
255565,Kaoru Mitoma,82,87,73,76,86,57,LW
229188,Vangelis Pavlidis,82,79,82,71,80,47,"ST, CAM"
209499,Fabinho,82,53,69,78,77,81,"CDM, CM"
233556,Riccardo Orsolini,82,79,81,79,83,49,RW
264453,Micky van de Ven,82,90,49,64,72,82,"CB, LB"
222492,Leroy Sané,82,87,81,78,85,37,RW
227678,Ezri Konsa,82,75,53,71,75,84,"CB, RB"
251470,Charles De Ketelaere,82,70,79,80,83,56,"CAM, ST, CM"
251805,Jurriën Timber,82,76,48,72,77,82,"RB, LB, CB"
244778,Trincão,82,80,80,79,84,40,"CAM, RW, ST"
206113,Serge Gnabry,82,79,83,78,84,43,"ST, CAM"
244257,Jonathan Burkardt,82,83,82,67,81,44,ST
210047,Fabian Schär,82,51,68,76,73,84,CB
213648,Pierre-Emile Højbjerg,82,49,73,78,74,78,"CDM, CM"
235790,Kai Havertz,82,72,79,78,81,48,"ST, CM, CAM"
278349,Dean Huijsen,82,71,55,73,74,82,CB
216547,Rafa,82,89,75,78,85,48,"CAM, ST"
230142,Oyarzabal,82,77,83,81,82,42,"ST, LW"
237681,Takefusa Kubo,82,86,77,78,85,40,RW
183898,Ángel Di María,82,73,80,85,85,43,RW
192318,Mario Götze,82,60,75,85,85,56,"CM, CAM, CDM"
210935,Domenico Berardi,82,82,80,79,84,35,RW
236461,Jean-Philippe Mateta,82,75,84,70,77,41,ST
203574,John Stones,82,64,58,74,75,84,"CB, RB"
229237,Manuel Akanji,82,74,48,69,73,82,CB
243630,Jonathan David,82,81,82,71,80,34,ST
246147,Mason Greenwood,82,83,83,77,83,37,"CAM, RW"
189513,Parejo,82,39,80,87,78,74,"CM, CDM"
231416,Dodi Lukébakio,82,87,81,76,83,31,"RW, ST"
232639,Ritsu Doan,82,82,71,78,85,41,"CAM, RB"
234824,Yoane Wissa,82,85,82,70,80,31,ST
246430,Dušan Vlahović,82,78,84,69,77,29,ST
229476,Waldemar Anton,82,69,47,67,66,84,CB
235243,Matthijs de Ligt,82,62,61,62,67,82,CB
201024,Kalidou Koulibaly,82,74,48,62,65,82,CB
235410,Youssef En-Nesyri,82,79,81,65,75,35,ST
278046,Pau Cubarsí,82,70,42,66,77,84,CB
215333,Duván Zapata,82,74,81,64,77,35,ST
192366,Nicolás Otamendi,82,60,57,64,62,83,CB
241159,Marc Guéhi,82,69,39,69,73,83,CB
200724,Nacho Fernández,82,73,37,68,71,82,"CB, LB, RB"
207862,Matthias Ginter,82,55,58,71,66,85,CB
231410,Brahim,82,82,74,79,85,31,"CAM, RW"
243241,Alessandro Buongiorno,82,69,45,67,65,84,CB
212218,Aymeric Laporte,82,51,50,74,70,83,CB
232488,Cristian Romero,82,66,48,62,65,83,CB
270409,Savinho,82,87,71,78,86,30,"RW, LW"
236532,Robin Koch,82,66,44,63,66,83,CB
188335,Ante Budimir,82,59,84,63,76,35,ST
192123,Chris Wood,82,53,83,68,72,40,ST
247257,Ibañez,82,87,32,47,61,83,CB
237086,Kim Min Jae,82,73,33,58,63,83,CB
210413,Alessio Romagnoli,82,64,40,55,69,84,CB
251809,Sven Botman,82,56,37,62,65,83,CB
247246,Khéphren Thuram,81,78,76,77,80,81,"CM, CDM"
238216,Conor Gallagher,81,75,76,80,78,79,"CM, CAM"
238074,Reece James,81,76,71,82,77,81,RB
208574,Filip Kostić,81,82,76,81,80,70,"LB, LW"
202648,Sergi Darder,81,77,76,81,80,73,"CM, CDM, LW"
210881,John McGinn,81,69,77,78,80,77,"CAM, LB"
239807,Davide Frattesi,81,82,77,78,82,73,CM
235840,Michele Di Gregorio,81,82,78,79,85,56,GK
258648,Carlos Augusto,81,78,72,77,79,79,"LB, CB"
261865,Miguel Gutiérrez,81,81,71,79,81,76,LB
228618,Ferland Mendy,81,85,64,74,75,78,LB
240679,Teun Koopmeiners,81,70,79,83,78,75,"CAM, CM"
181458,Ivan Perišić,81,75,80,81,79,69,"RW, LW"
234060,Yangel Herrera,81,65,76,77,79,80,"CM, CDM, CAM"
272500,Carlos Baleba,81,74,70,75,80,79,"CDM, CM"
219683,Corentin Tolisso,81,68,78,78,76,77,"CM, CDM, CAM"
208418,Yannick Carrasco,81,87,80,77,85,58,LW
233306,Dean Henderson,81,82,78,77,82,55,GK
237646,Daniel Muñoz,81,75,69,72,76,79,RB
208461,Marten de Roon,81,61,74,77,76,83,"CM, CDM"
216352,Marcelo Brozović,81,63,73,78,79,78,"CDM, CM"
235944,Brais Méndez,81,70,80,82,81,65,"CM, CAM"
259516,Johnny Cardoso,81,72,67,76,78,80,"CDM, CM"
223885,Alexander Nübel,81,81,76,84,82,48,GK
206085,Jacob Murphy,81,82,77,78,80,61,RW
193747,Koke,81,61,72,83,78,76,"CM, CDM"
212242,Robert Andrich,81,57,77,76,73,83,"CDM, CM, CB"
245630,Youssouf Fofana,81,68,68,75,78,79,"CDM, CM"
242641,Rayan Aït-Nouri,81,84,53,76,84,77,LB
211688,Gayà,81,80,61,76,77,77,LB
251566,Gabriel Martinelli,81,90,77,75,83,46,LW
253396,Giuliano Simeone,81,91,73,72,81,45,"ST, RW"
188943,Kevin Trapp,81,82,80,74,84,46,GK
212523,Anderson Talisca,81,76,86,80,81,45,"CAM, ST, RW, CM"
225309,Nadiem Amiri,81,65,79,82,82,62,"CM, CAM"
203841,Nick Pope,81,81,81,68,82,49,GK
212228,Ivan Toney,81,78,82,71,75,51,ST
223952,David Soria,81,81,79,74,82,41,GK
235805,Federico Chiesa,81,87,80,75,83,44,"ST, RW"
239301,Lisandro Martínez,81,67,59,75,75,81,CB
239482,Galeno,81,93,75,71,83,45,LW
243952,Andriy Lunin,81,80,78,79,82,37,GK
255475,Antony,81,84,78,78,83,43,RW
184392,Matteo Darmian,81,71,62,74,76,81,"RB, CB"
216409,Matteo Politano,81,80,78,80,83,59,RW
230670,Lucas Perri,81,80,79,79,82,35,GK
202024,Remo Freuler,81,58,72,76,77,77,"CDM, CM"
213516,Ricardo Horta,81,78,81,81,82,43,"CAM, CM"
208093,Gerard Moreno,81,77,82,77,80,46,"ST, RW, CAM"
210385,Rui Silva,81,82,78,77,84,31,GK
222509,Dani Ceballos,81,61,71,80,82,72,"CM, CDM"
247263,Edmond Tapsoba,81,75,56,68,70,82,CB
251852,Karim Adeyemi,81,96,76,72,82,36,"LW, CAM, RW"
257470,Anthony Elanga,81,92,72,76,82,39,RW
190941,Lukáš Hrádecký,81,83,79,64,83,40,GK
236632,David Neres,81,86,76,75,86,46,LW
236403,Evan Ndicka,81,74,53,69,69,81,CB
232498,Isi,81,84,77,80,82,39,"CAM, ST, CM"
210676,Wladimiro Falcone,81,83,81,75,84,27,GK
220814,Lucas Hernández,81,71,54,72,70,82,"CB, LB"
237679,Randal Kolo Muani,81,90,79,71,80,38,ST
201153,Morata,81,78,81,74,80,31,"ST, CAM"
257179,Gonçalo Inácio,81,77,37,71,73,82,CB
242835,Leonardo Balerdi,81,77,46,65,69,82,CB
216354,Andrej Kramarić,81,67,82,78,84,33,"CAM, CM"
232411,Christopher Nkunku,81,77,79,80,82,40,"CAM, ST, CM"
243854,Mohamed Simakan,81,76,43,65,69,82,"CB, RB"
200888,Danilo Pereira,81,47,64,68,71,82,CB
264309,Arda Güler,81,70,77,83,83,52,"CAM, RW"
188567,Pierre-Emerick Aubameyang,81,82,83,72,78,36,ST
214096,Tim Kleindienst,81,67,82,62,70,45,ST
231652,Simon Banza,81,79,81,62,77,36,ST
244749,Nayef Aguerd,81,72,50,67,65,82,CB
247679,Victor Boniface,81,67,83,66,80,38,ST
201399,Mauro Icardi,81,67,82,71,76,40,ST
232756,Fikayo Tomori,81,81,40,60,67,82,CB
212190,Niklas Süle,81,61,51,68,67,81,"CB, RB"
251570,Rayan Cherki,81,75,75,80,88,21,"RW, CAM"
180930,Edin Džeko,81,55,82,74,77,40,ST
232363,Milan Škriniar,81,57,52,60,65,83,CB
228805,Raíllo,81,41,36,59,62,83,CB
263205,Barış Alper Yılmaz,80,93,77,72,79,69,LW
213666,Ruben Loftus-Cheek,80,81,76,79,80,76,"CM, CAM"
230938,Franck Yannick Kessié,80,78,77,73,78,78,"CDM, CM, CB"
251806,Quinten Timber,80,77,78,76,80,74,"CM, CDM, CAM"
204923,Marcel Sabitzer,80,74,80,80,80,76,"CDM, CM"
226753,André Onana,80,81,75,85,83,61,GK
231913,Fredrik Aursnes,80,74,71,78,80,77,"CM, RB, CAM"
226754,Ismaël Bennacer,80,76,72,80,83,76,"CDM, CM"
209297,Fred,80,77,71,78,82,76,"CM, CDM, CAM"
228251,Lorenzo Pellegrini,80,75,77,80,80,73,"CAM, CM"
251479,Maxim De Cuyper,80,76,73,80,79,75,"LB, RB"
259583,Destiny Udogie,80,88,64,73,78,76,LB
245155,Mohammed Kudus,80,89,76,72,86,60,"RW, LW, ST"
268889,Álvaro Carreras,80,85,65,75,79,73,LB
270571,Gabriel Sara,80,74,74,83,79,68,"CM, CAM"
270673,Warren Zaïre-Emery,80,79,68,76,79,75,"CM, CDM, CAM"
232665,Mauro Arambarri,80,65,79,76,77,79,"CM, CDM"
242434,Curtis Jones,80,74,74,76,82,72,"CAM, CM, CDM"
254243,Elliot Anderson,80,71,68,79,81,77,"CDM, CM"
233927,Lucas Paquetá,80,68,78,78,84,69,"CM, CAM"
259694,Mingueza,80,80,66,77,77,76,RB
273018,Andrey Santos,80,74,69,74,78,77,"CM, CDM"
204883,Brice Samba,80,78,80,80,80,53,GK
224656,Ola Aina,80,88,63,71,75,78,"RB, LB"
239093,Jonathan Clauss,80,85,69,76,78,73,RB
192563,Bernd Leno,80,80,79,76,81,53,GK
223697,Robin Gosens,80,72,74,73,76,77,LB
236499,Douglas Luiz,80,67,75,82,80,75,"CM, CDM"
259913,Georgiy Sudakov,80,81,77,78,81,60,"CAM, CM, CDM"
209889,Raphaël Guerreiro,80,69,78,85,88,74,"LB, CM, RB"
223273,Mario Pašalić,80,69,78,77,81,67,"CM, CAM"
236401,Noussair Mazraoui,80,75,66,76,80,77,"RB, CB"
241671,Dominik Livaković,80,80,76,71,83,56,GK
252802,Wilfried Singo,80,80,59,70,73,79,"CB, RB"
226300,Uğurcan Çakır,80,81,76,74,79,54,GK
233195,Xaver Schlager,80,69,70,74,78,75,"CDM, CM"
200458,Lucas Digne,80,69,68,79,76,77,LB
210406,Piotr Zieliński,80,76,76,80,82,70,CM
186345,Kieran Trippier,80,66,65,83,77,80,RB
205157,Ruiz de Galarreta,80,69,65,77,79,76,"CDM, CM"
250753,Anatoliy Trubin,80,77,76,77,84,45,GK
225126,Ellyes Skhiri,80,64,73,74,75,80,"CDM, CM"
227535,Rodrigo Bentancur,80,64,68,78,79,78,"CDM, CM"
208268,Bryan Cristante,80,52,74,78,75,78,"CM, CDM"
231591,Javi Galán,80,78,56,75,79,77,LB
213655,Alex Iwobi,80,76,74,77,81,56,LW
241508,Mikkel Damsgaard,80,68,73,82,81,66,"CAM, CM"
266127,Lewis Hall,80,77,62,78,79,77,LB
201269,Frederik Rønnow,80,80,80,69,82,47,GK
264697,Mohamed Amoura,80,90,81,71,86,47,"ST, LW, CAM"
73562,Bento,80,79,76,77,83,39,GK
220876,Franck Honorat,80,84,78,79,78,53,"RW, RB"
234579,Julian Quiñones,80,88,79,70,79,36,"ST, LW"
190765,Pascal Groß,80,48,75,84,79,72,"CDM, CM"
254796,Noni Madueke,80,88,75,74,83,45,RW
206517,Jack Grealish,80,72,76,80,85,53,LW
228579,Benjamin Henrichs,80,73,54,76,78,78,"RB, LB"
262118,Tino Livramento,80,82,51,72,78,76,"RB, LB"
239380,Noa Lang,80,80,77,73,84,50,LW
260592,Benjamin Šeško,80,83,80,65,78,46,ST
269626,Đorđe Petrović,80,80,78,73,82,41,GK
238616,Pedro Neto,80,91,76,74,82,40,"ST, RW"
241236,Antoine Semenyo,80,80,78,73,81,40,RW
190674,Benjamin André,80,55,64,73,76,79,"CDM, CM"
225953,Steven Bergwijn,80,80,78,76,84,41,LW
230666,Gabriel Jesus,80,81,79,74,86,39,"ST, CAM"
234742,Harvey Barnes,80,83,80,75,81,43,LW
229880,Aaron Wan-Bissaka,80,80,51,69,77,78,RB
255654,Pierre Kalulu,80,80,53,68,70,81,"CB, RB"
237712,Valentin Castellanos,80,75,80,71,81,45,ST
226110,Nicolas Pépé,80,88,77,76,82,36,"ST, RW"
246242,Boulaye Dia,80,84,81,67,78,43,"ST, CAM"
229668,Mario Hermoso,80,72,49,73,71,80,CB
234642,Édouard Mendy,80,78,77,75,81,34,GK
238900,Ermedin Demirović,80,72,81,73,78,42,ST
241727,Predrag Rajković,80,78,78,76,84,29,GK
243586,Ayoub El Kaabi,80,82,82,62,75,46,ST
259197,Nicolas Jackson,80,82,77,69,79,40,ST
200155,Hans Vanaken,80,45,79,84,77,60,"CAM, CM"
277179,Fermín,80,74,75,75,82,62,"CAM, CM, LW, ST"
231677,Marcus Rashford,80,87,82,77,80,33,"LW, ST"
256948,Christos Tzolis,80,78,77,75,83,38,LW
203980,Konstantinos Fortounis,80,73,77,82,80,43,"CAM, ST, RW, CM"
246420,Jérémy Doku,80,91,71,72,87,32,"LW, RW"
271400,Igor Paixão,80,83,80,75,81,32,LW
235149,Jerdy Schouten,80,60,59,72,76,80,"CDM, CM, CB"
256903,Gonçalo Ramos,80,73,79,64,77,48,ST
225539,Dominic Solanke,80,71,80,66,77,42,ST
189596,Thomas Müller,80,59,79,82,78,55,"CAM, ST"
212096,Vincenzo Grifo,80,70,76,82,81,43,"CAM, LW"
243593,Armand Laurienté,80,91,77,74,83,36,LW
210697,Christian Nørgaard,80,49,65,74,71,79,"CDM, CM"
262859,Levi Colwill,80,70,43,71,72,81,CB
264862,Maghnes Akliouche,80,74,70,78,83,48,"CAM, RW"
